collision_id,a,out_strength_vector,frob2,field,frequency,DeltaW,DeltaW_next
54,1 1 1 1 1,6 -4 -4 -4 8,40,local,3,0 3 1 1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;2 2 2 2 0,0 2 0 0 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;1 1 1 1 0
54,1 1 1 1 1,6 -4 -4 -4 8,46,hub_local,10,0 0 3 0 3;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;2 2 2 2 0,0 -1 2 -1 2;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;1 1 1 1 0
55,1 1 1 1 1,6 -4 -4 11 -4,61,local,1,0 3 1 1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;2 2 2 0 5;-1 -1 -1 -1 0,0 2 0 0 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;1 1 1 0 4;-1 -1 -1 -1 0
55,1 1 1 1 1,6 -4 -4 11 -4,67,hub_local,5,0 0 3 0 3;-1 0 -1 -1 -1;-1 -1 0 -1 -1;2 2 2 0 5;-1 -1 -1 -1 0,0 -1 2 -1 2;-1 0 -1 -1 -1;-1 -1 0 -1 -1;1 1 1 0 4;-1 -1 -1 -1 0
56,1 1 1 1 1,10 -4 -4 -4 -4,44,local,16,0 4 2 2 2;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 3 1 1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
56,1 1 1 1 1,10 -4 -4 -4 -4,50,hub_local,16,0 1 4 1 4;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 0 3 0 3;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
57,1 1 1 1 1,10 -4 -4 -4 12,76,local,3,0 4 2 2 2;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;3 3 3 3 0,0 3 1 1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;2 2 2 2 0
57,1 1 1 1 1,10 -4 -4 -4 12,82,hub_local,10,0 1 4 1 4;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;3 3 3 3 0,0 0 3 0 3;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;2 2 2 2 0
58,1 1 1 1 1,10 -4 -4 15 -4,103,local,2,0 4 2 2 2;-1 0 -1 -1 -1;-1 -1 0 -1 -1;3 3 3 0 6;-1 -1 -1 -1 0,0 3 1 1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;2 2 2 0 5;-1 -1 -1 -1 0
58,1 1 1 1 1,10 -4 -4 15 -4,109,hub_local,5,0 1 4 1 4;-1 0 -1 -1 -1;-1 -1 0 -1 -1;3 3 3 0 6;-1 -1 -1 -1 0,0 0 3 0 3;-1 0 -1 -1 -1;-1 -1 0 -1 -1;2 2 2 0 5;-1 -1 -1 -1 0
