mask,features,n_features,unique_groups,deterministic_groups,D_state,A_freq,B_unique_DeltaW,DeltaW_compression_rate
183,frob2+rank+stable_rank+out_strength_distribution+in_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0,2562,0.0
184,singular_values+out_strength_distribution+in_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
185,frob2+singular_values+out_strength_distribution+in_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
186,rank+singular_values+out_strength_distribution+in_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
187,frob2+rank+singular_values+out_strength_distribution+in_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0,2562,0.0
188,stable_rank+singular_values+out_strength_distribution+in_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
189,frob2+stable_rank+singular_values+out_strength_distribution+in_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0,2562,0.0
190,rank+stable_rank+singular_values+out_strength_distribution+in_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0,2562,0.0
191,frob2+rank+stable_rank+singular_values+out_strength_distribution+in_strength_distribution+out_strength_vector,7,11202,11202,1.0,1.0,2562,0.0
192,in_out_strength_distribution+out_strength_vector,2,11202,11202,1.0,1.0,2562,0.0
193,frob2+in_out_strength_distribution+out_strength_vector,3,11202,11202,1.0,1.0,2562,0.0
194,rank+in_out_strength_distribution+out_strength_vector,3,11202,11202,1.0,1.0,2562,0.0
195,frob2+rank+in_out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
196,stable_rank+in_out_strength_distribution+out_strength_vector,3,11202,11202,1.0,1.0,2562,0.0
197,frob2+stable_rank+in_out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
198,rank+stable_rank+in_out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
199,frob2+rank+stable_rank+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
200,singular_values+in_out_strength_distribution+out_strength_vector,3,11202,11202,1.0,1.0,2562,0.0
201,frob2+singular_values+in_out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
202,rank+singular_values+in_out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
203,frob2+rank+singular_values+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
204,stable_rank+singular_values+in_out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
205,frob2+stable_rank+singular_values+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
206,rank+stable_rank+singular_values+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
207,frob2+rank+stable_rank+singular_values+in_out_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0,2562,0.0
208,out_strength_distribution+in_out_strength_distribution+out_strength_vector,3,11202,11202,1.0,1.0,2562,0.0
