future_id,chi,difficult,n,anchor_neg,variable_coords,variable_rows,max_row_patterns,excess_row_patterns,observed_actions,revealing_actions,conflict_actions,pairs,revealable_pairs,coobs_pair_actions,reveal_pair_actions,row_patterns
1491,1,0,2,13,3,1,2,1,2,0,0,1,0,2,0,2 1 1 1 1
1497,1,0,1,10,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1502,1,0,1,11,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1504,1,0,1,10,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1535,1,0,1,11,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1541,1,0,1,16,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1542,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1543,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1546,1,0,1,11,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1547,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1549,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1554,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1557,1,0,1,11,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1566,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1584,1,0,1,11,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1632,2,1,6,16,16,4,3,5,30,16,16,15,4,82,16,1 2 2 3 2
1633,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1634,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1635,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1636,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1638,1,0,2,12,1,1,2,1,2,0,0,1,0,2,0,1 1 2 1 1
1639,1,0,1,8,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1642,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1644,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1647,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1651,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1652,1,0,1,8,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1655,1,0,1,8,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1661,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1667,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1672,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1675,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1676,1,0,1,8,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1679,1,0,1,8,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1685,1,0,1,8,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1695,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1703,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1706,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1713,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1715,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1717,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1725,1,0,5,16,16,4,2,4,4,0,0,10,0,22,0,1 2 2 2 2
1726,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1727,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1728,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1729,1,0,1,15,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1730,1,0,1,11,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1732,1,0,1,15,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1733,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1734,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1735,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1737,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1738,1,0,1,11,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1739,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1741,1,0,1,15,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1743,1,0,1,11,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1745,1,0,1,14,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1746,1,0,1,10,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1748,1,0,1,14,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1751,1,0,1,11,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1756,1,0,1,11,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1757,1,0,1,10,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1763,1,0,1,15,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
